datetime,O,H,L,C,V,OI,WAP
2020-03-30 09:30:00,44.13,44.13,44.13,44.13,38,1,44.13
2020-03-30 09:30:01,44.13,44.13,44.13,44.13,0,0,44.13
2020-03-30 09:30:02,43.93,43.93,43.92,43.93,1,1,43.925
2020-03-30 09:30:03,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:04,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:05,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:06,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:07,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:08,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:09,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:10,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:11,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:12,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:13,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:14,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:15,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:16,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:17,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:18,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:19,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:20,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:21,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:22,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:23,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:24,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:25,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:26,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:27,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:28,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:29,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:30,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:31,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:32,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:33,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:34,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:35,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:36,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:37,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:38,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:39,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:40,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:41,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:42,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:43,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:44,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:45,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:46,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:47,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:48,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:49,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:50,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:51,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:52,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:53,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:54,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:55,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:56,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:57,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:58,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:30:59,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:00,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:01,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:02,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:03,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:04,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:05,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:06,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:07,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:08,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:09,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:10,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:11,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:12,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:13,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:14,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:15,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:16,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:17,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:18,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:19,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:20,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:21,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:22,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:23,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:24,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:25,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:26,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:27,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:28,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:29,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:30,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:31,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:32,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:33,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:34,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:35,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:36,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:37,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:38,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:39,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:40,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:41,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:42,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:43,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:44,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:45,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:46,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:47,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:48,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:49,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:50,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:51,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:52,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:53,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:54,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:55,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:56,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:57,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:58,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:31:59,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:00,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:01,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:02,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:03,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:04,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:05,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:06,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:07,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:08,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:09,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:10,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:11,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:12,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:13,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:14,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:15,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:16,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:17,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:18,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:19,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:20,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:21,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:22,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:23,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:24,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:25,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:26,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:27,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:28,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:29,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:30,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:31,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:32,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:33,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:34,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:35,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:36,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:37,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:38,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:39,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:40,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:41,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:42,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:43,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:44,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:45,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:46,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:47,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:48,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:49,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:50,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:51,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:52,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:53,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:54,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:55,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:56,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:57,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:58,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:32:59,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:00,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:01,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:02,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:03,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:04,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:05,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:06,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:07,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:08,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:09,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:10,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:11,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:12,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:13,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:14,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:15,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:16,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:17,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:18,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:19,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:20,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:21,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:22,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:23,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:24,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:25,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:26,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:27,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:28,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:29,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:30,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:31,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:32,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:33,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:34,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:35,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:36,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:37,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:38,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:39,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:40,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:41,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:42,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:43,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:44,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:45,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:46,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:47,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:48,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:49,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:50,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:51,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:52,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:53,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:54,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:55,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:56,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:57,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:58,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:33:59,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:34:00,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:34:01,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:34:02,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:34:03,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:34:04,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:34:05,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:34:06,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:34:07,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:34:08,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:34:09,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:34:10,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:34:11,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:34:12,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:34:13,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:34:14,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:34:15,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:34:16,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:34:17,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:34:18,43.93,43.93,43.92,43.93,0,0,43.93
2020-03-30 09:34:19,43.55,44.28,43.55,44.28,2,2,43.915
2020-03-30 09:34:20,44.28,44.28,44.28,44.28,0,0,44.28
2020-03-30 09:34:21,44.28,44.28,44.28,44.28,0,0,44.28
2020-03-30 09:34:22,44.28,44.28,44.28,44.28,0,0,44.28
2020-03-30 09:34:23,44.28,44.28,44.28,44.28,0,0,44.28
2020-03-30 09:34:24,44.28,44.28,44.28,44.28,0,0,44.28
2020-03-30 09:34:25,44.28,44.28,44.28,44.28,0,0,44.28
2020-03-30 09:34:26,44.28,44.28,44.28,44.28,0,0,44.28
2020-03-30 09:34:27,44.28,44.28,44.28,44.28,0,0,44.28
2020-03-30 09:34:28,44.28,44.28,44.28,44.28,0,0,44.28
2020-03-30 09:34:29,44.28,44.28,44.28,44.28,0,0,44.28
2020-03-30 09:34:30,44.28,44.28,44.28,44.28,0,0,44.28
2020-03-30 09:34:31,44.28,44.28,44.28,44.28,0,0,44.28
2020-03-30 09:34:32,44.28,44.28,44.28,44.28,0,0,44.28
2020-03-30 09:34:33,44.28,44.28,44.28,44.28,0,0,44.28
2020-03-30 09:34:34,44.28,44.28,44.28,44.28,0,0,44.28
2020-03-30 09:34:35,44.28,44.28,44.28,44.28,0,0,44.28
2020-03-30 09:34:36,43.56,44.28,43.56,44.28,2,2,43.92
2020-03-30 09:34:37,44.28,44.28,44.28,44.28,0,0,44.28
2020-03-30 09:34:38,44.28,44.28,44.28,44.28,0,0,44.28
2020-03-30 09:34:39,44.28,44.28,44.28,44.28,0,0,44.28
2020-03-30 09:34:40,44.28,44.28,44.28,44.28,0,0,44.28
2020-03-30 09:34:41,44.28,44.28,44.28,44.28,0,0,44.28
2020-03-30 09:34:42,44.28,44.28,44.28,44.28,0,0,44.28
2020-03-30 09:34:43,44.28,44.28,44.28,44.28,0,0,44.28
2020-03-30 09:34:44,44.28,44.28,44.28,44.28,0,0,44.28
2020-03-30 09:34:45,44.28,44.28,44.28,44.28,0,0,44.28
2020-03-30 09:34:46,44.28,44.28,44.28,44.28,0,0,44.28
2020-03-30 09:34:47,44.28,44.28,44.28,44.28,0,0,44.28
2020-03-30 09:34:48,44.81,44.81,44.81,44.81,1,1,44.81
2020-03-30 09:34:49,44.81,44.81,44.81,44.81,0,0,44.81
2020-03-30 09:34:50,44.81,44.81,44.81,44.81,0,0,44.81
2020-03-30 09:34:51,44.81,44.81,44.81,44.81,0,0,44.81
2020-03-30 09:34:52,44.81,44.81,44.81,44.81,0,0,44.81
2020-03-30 09:34:53,44.81,44.81,44.81,44.81,0,0,44.81
2020-03-30 09:34:54,44.81,44.81,44.81,44.81,0,0,44.81
2020-03-30 09:34:55,44.81,44.81,44.81,44.81,0,0,44.81
2020-03-30 09:34:56,44.81,44.81,44.81,44.81,0,0,44.81
2020-03-30 09:34:57,44.81,44.81,44.81,44.81,0,0,44.81
2020-03-30 09:34:58,44.81,44.81,44.81,44.81,0,0,44.81
